Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 Compresseur 3 KWh-Dif;MISFAT 3 G39 KWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 G10 KWh-Diff;MISFAT 3 TGBT N°3 KWh-Diff;MISFAT 3 Eclairage 3-2 KWh-Dif
2024-11-16 00:00:00 CEST;"9;125";"98;75";"45;9375";"42;625";"36;0625";0,0kWh;"782;5";0,0kWh
2024-11-16 01:00:00 CEST;"8;84375";"99;125";"43;4375";"42;3125";"34;625";0,0kWh;"718;5";0,0kWh
2024-11-16 02:00:00 CEST;"8;640625";"99;25";"42;0625";"42;34375";"17;5";0,0kWh;"668;5";0,0kWh
2024-11-16 03:00:00 CEST;"8;453125";"99;75";"44;5";"42;3125";"40;875";0,0kWh;"694;5";0,0kWh
2024-11-16 04:00:00 CEST;"8;65625";"100;375";"43;1875";"42;59375";"36;8125";0,0kWh;"690;5";0,0kWh
2024-11-16 05:00:00 CEST;"9;15625";"97;5";"42;0625";"37;75";"36;9375";0,0kWh;"670;5";0,0kWh
2024-11-16 06:00:00 CEST;"12;078125";"41;125";"36;0625";"6;125";0,0kWh;0,0kWh;"492;5";0,0kWh
2024-11-16 07:00:00 CEST;"110;265625";"103;75";"58;875";"44;53125";"34;125";"11;259765625";"946;5";0,0kWh
2024-11-16 08:00:00 CEST;"114;234375";"99;25";"62;75";"43;75";"38;375";"8;3619384765625";"944;5";0,0kWh
2024-11-16 09:00:00 CEST;"113;65625";"98;5";"61;5";"43;75";"36;0625";"8;25927734375";"914;5";0,0kWh
2024-11-16 10:00:00 CEST;"104;5";"94;875";"58;9375";"43;40625";"31;9375";"8;409912109375";"870;5";0,0kWh
2024-11-16 11:00:00 CEST;"112;109375";95,0kWh;"61;25";"44;09375";"35;5625";"8;22314453125";"886;5";0,0kWh
2024-11-16 12:00:00 CEST;"111;171875";"94;125";"59;8125";"43;96875";"32;125";"8;204833984375";"874;5";0,0kWh
2024-11-16 13:00:00 CEST;"106;46875";95,0kWh;"58;375";"44;0625";"32;5";"8;21875";"862;5";0,0kWh
2024-11-16 14:00:00 CEST;"110;78125";"91;875";"52;3125";"43;875";"33;25";"8;26611328125";"810;5";0,0kWh
2024-11-16 15:00:00 CEST;"112;03125";"75;25";"54;8125";"43;875";35,0kWh;"8;2374267578125";"798;5";0,0kWh
2024-11-16 16:00:00 CEST;"111;515625";"72;5";"52;0625";"43;875";"34;125";"8;1739501953125";"798;5";0,0kWh
2024-11-16 17:00:00 CEST;"108;609375";"18;375";"49;375";"44;0625";"32;8125";"8;2584228515625";"716;5";0,0kWh
2024-11-16 18:00:00 CEST;"112;3125";"76;75";"49;1875";"37;625";"35;875";"8;2213134765625";"808;5";0,0kWh
2024-11-16 19:00:00 CEST;"112;296875";"92;5";"50;5";"44;4375";"28;25";"8;296142578125";"810;5";0,0kWh
2024-11-16 20:00:00 CEST;"78;8125";"87;125";"46;5";"36;9375";"28;0625";"1;8701171875";"682;5";0,0kWh
2024-11-16 21:00:00 CEST;"5;5";"9;125";"3;75";0,0kWh;0,0kWh;0,0kWh;"176;5";0,0kWh
2024-11-16 22:00:00 CEST;"4;53125";"8;75";"0;0625";0,0kWh;0,0kWh;0,0kWh;"162;5";0,0kWh
2024-11-16 23:00:00 CEST;"0;84375";"0;875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"100;5";0,0kWh
2024-11-17 00:00:00 CEST;"4;515625";9,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"156;5";0,0kWh
2024-11-17 01:00:00 CEST;"4;46875";"9;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"158;5";0,0kWh
2024-11-17 02:00:00 CEST;"4;3125";"8;875";"0;0625";0,0kWh;0,0kWh;0,0kWh;"154;5";0,0kWh
2024-11-17 03:00:00 CEST;"3;921875";"9;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"152;5";0,0kWh
2024-11-17 04:00:00 CEST;"4;0625";"9;375";"0;0625";0,0kWh;0,0kWh;0,0kWh;"150;5";0,0kWh
2024-11-17 05:00:00 CEST;"4;359375";9,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"148;5";0,0kWh
2024-11-17 06:00:00 CEST;"4;46875";13,0kWh;"33;125";0,0kWh;0,0kWh;0,0kWh;"258;5";0,0kWh
2024-11-17 07:00:00 CEST;"20;984375";33,0kWh;"40;25";"34;6875";0,0kWh;0,0kWh;"442;5";0,0kWh
2024-11-17 08:00:00 CEST;"12;296875";"32;75";42,0kWh;"42;8125";0,0kWh;0,0kWh;"454;5";0,0kWh
2024-11-17 09:00:00 CEST;"10;453125";"32;625";"38;625";"42;75";0,0kWh;0,0kWh;"444;5";0,0kWh
2024-11-17 10:00:00 CEST;"18;640625";"33;75";"41;125";"42;90625";0,0kWh;0,0kWh;"472;5";0,0kWh
2024-11-17 11:00:00 CEST;"61;921875";"32;625";"42;3125";"38;15625";0,0kWh;0,0kWh;"492;5";0,0kWh
2024-11-17 12:00:00 CEST;"3;5625";"8;875";"31;5";0,0kWh;0,0kWh;0,0kWh;"246;5";0,0kWh
2024-11-17 13:00:00 CEST;"4;171875";"9;125";"26;1875";0,0kWh;0,0kWh;0,0kWh;"190;5";0,0kWh
2024-11-17 14:00:00 CEST;"3;484375";"7;875";"0;0625";0,0kWh;0,0kWh;0,0kWh;"146;5";0,0kWh
2024-11-17 15:00:00 CEST;"4;28125";"8;75";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"140;5";0,0kWh
2024-11-17 16:00:00 CEST;4,0kWh;"9;125";"0;0625";0,0kWh;0,0kWh;0,0kWh;"134;5";0,0kWh
2024-11-17 17:00:00 CEST;"3;40625";"8;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2024-11-17 18:00:00 CEST;"3;703125";"8;375";"0;0625";0,0kWh;0,0kWh;0,0kWh;"142;5";0,0kWh
2024-11-17 19:00:00 CEST;"4;140625";"8;625";"0;0625";0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2024-11-17 20:00:00 CEST;"4;15625";"9;375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"140;5";0,0kWh
2024-11-17 21:00:00 CEST;"3;703125";9,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"142;5";0,0kWh
2024-11-17 22:00:00 CEST;"3;921875";9,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"142;5";0,0kWh
2024-11-17 23:00:00 CEST;"0;796875";"0;75";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"86;5";0,0kWh
2024-11-18 00:00:00 CEST;"4;203125";"8;625";"0;0625";0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2024-11-18 01:00:00 CEST;"3;640625";"8;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2024-11-18 02:00:00 CEST;"4;21875";"9;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"144;5";0,0kWh
2024-11-18 03:00:00 CEST;"4;28125";"8;875";"0;0625";0,0kWh;0,0kWh;0,0kWh;"140;5";0,0kWh
2024-11-18 04:00:00 CEST;"4;46875";9,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"142;5";0,0kWh
2024-11-18 05:00:00 CEST;"4;640625";"14;375";"4;625";0,0kWh;0,0kWh;0,0kWh;"186;5";0,0kWh
2024-11-18 06:00:00 CEST;"33;0625";"54;25";39,0kWh;"10;59375";0,0kWh;"10;678955078125";"580;5";0,0kWh
2024-11-18 07:00:00 CEST;"111;4375";"92;625";"62;4375";"42;875";"39;8125";"8;671142578125";"936;5";0,0kWh
2024-11-18 08:00:00 CEST;"111;25";"90;875";"66;4375";"43;0625";"31;75";"8;462646484375";"956;5";0,0kWh
2024-11-18 09:00:00 CEST;"115;546875";"91;625";"69;875";"43;34375";"27;3125";"8;348388671875";"980;5";0,0kWh
2024-11-18 10:00:00 CEST;"112;59375";90,0kWh;"65;4375";"43;40625";"28;25";"8;2581787109375";"978;5";0,0kWh
2024-11-18 11:00:00 CEST;"102;515625";"100;125";"71;5625";"41;03125";"12;3125";"8;2088623046875";"954;5";0,0kWh
2024-11-18 12:00:00 CEST;"101;5";"97;75";"66;25";"42;0625";"36;125";"8;1768798828125";"934;5";0,0kWh
2024-11-18 13:00:00 CEST;"107;84375";"94;375";"66;4375";"41;8125";"27;9375";"8;11376953125";"948;5";0,0kWh
2024-11-18 14:00:00 CEST;"88;125";"96;25";"67;4375";"40;1875";"30;3125";"8;10205078125";"964;5";0,0kWh
2024-11-18 15:00:00 CEST;"78;96875";"96;375";"71;1875";"34;375";"23;1875";"8;1651611328125";"982;5";0,0kWh
2024-11-18 16:00:00 CEST;"55;40625";"92;5";"66;625";"41;96875";"24;875";"8;7034912109375";"882;5";0,0kWh
2024-11-18 17:00:00 CEST;112,0kWh;88,0kWh;"53;4375";"41;4375";33,0kWh;"8;220458984375";"860;5";0,0kWh
2024-11-18 18:00:00 CEST;"107;609375";92,0kWh;53,0kWh;"40;09375";"30;0625";"8;2320556640625";"884;5";0,0kWh
2024-11-18 19:00:00 CEST;"105;03125";"96;375";"53;625";44,0kWh;"36;3125";"8;260009765625";"866;5";0,0kWh
2024-11-18 20:00:00 CEST;"93;984375";96,0kWh;"53;6875";"40;0625";"33;1875";"8;173095703125";"852;5";0,0kWh
2024-11-18 21:00:00 CEST;"4;203125";"96;125";"44;5";"41;53125";"36;625";0,0kWh;"682;5";0,0kWh
2024-11-18 22:00:00 CEST;"4;265625";"96;125";"47;4375";"42;90625";"31;1875";0,0kWh;"666;5";0,0kWh
2024-11-18 23:00:00 CEST;"0;90625";"19;125";"9;1875";"9;3125";0,0kWh;0,0kWh;"372;5";0,0kWh
2024-11-19 00:00:00 CEST;"4;3125";89,0kWh;"46;25";"42;09375";"33;8125";0,0kWh;"660;5";0,0kWh
2024-11-19 01:00:00 CEST;"4;421875";"95;375";"44;4375";"41;875";"15;0625";0,0kWh;"648;5";0,0kWh
2024-11-19 02:00:00 CEST;"4;0625";"94;125";"45;4375";"41;75";"37;1875";0,0kWh;"660;5";0,0kWh
2024-11-19 03:00:00 CEST;"3;8125";"95;5";"46;0625";"41;5625";"29;875";0,0kWh;"664;5";0,0kWh
2024-11-19 04:00:00 CEST;"4;40625";"94;25";"43;375";"41;71875";"33;625";"0;0001220703125";"652;5";0,0kWh
2024-11-19 05:00:00 CEST;"4;53125";"84;625";"43;375";"36;84375";"31;8125";0,0kWh;"648;5";0,0kWh
2024-11-19 06:00:00 CEST;"7;421875";"38;75";39,0kWh;"12;78125";0,0kWh;"9;8885498046875";"532;5";0,0kWh
2024-11-19 07:00:00 CEST;"98;59375";"98;75";"63;375";"37;25";"44;625";"8;720947265625";"966;5";0,0kWh
2024-11-19 08:00:00 CEST;"105;796875";"94;875";"67;875";"25;125";"37;75";"8;23828125";"950;5";0,0kWh
2024-11-19 09:00:00 CEST;"105;625";"89;625";"70;125";"37;40625";"36;125";"8;2274169921875";"968;5";0,0kWh
2024-11-19 10:00:00 CEST;"109;5625";95,0kWh;"68;625";"38;96875";31,0kWh;"8;171875";"980;5";0,0kWh
2024-11-19 11:00:00 CEST;"110;703125";"94;375";"71;5625";"38;875";"35;9375";"8;1434326171875";"988;5";0,0kWh
2024-11-19 12:00:00 CEST;"105;578125";"97;875";"65;9375";"33;8125";"32;9375";"8;0972900390625";"982;5";0,0kWh
2024-11-19 13:00:00 CEST;"104;59375";"95;25";"67;9375";"39;25";"34;375";"8;0947265625";"1006;5";0,0kWh
2024-11-19 14:00:00 CEST;"104;46875";"88;125";66,0kWh;"32;21875";"30;5";"8;02783203125";"1000;5";0,0kWh
2024-11-19 15:00:00 CEST;"102;40625";"94;875";"70;125";"39;71875";"31;5625";"7;9891357421875";"1004;5";0,0kWh
2024-11-19 16:00:00 CEST;"104;484375";"104;25";"67;125";"39;8125";"27;75";"8;0089111328125";"968;5";0,0kWh
2024-11-19 17:00:00 CEST;"103;5625";"83;5";"53;8125";"38;84375";"24;375";"8;079345703125";"816;5";0,0kWh
2024-11-19 18:00:00 CEST;"103;328125";"97;375";"53;3125";"41;34375";"30;375";"8;103515625";"846;5";0,0kWh
2024-11-19 19:00:00 CEST;"105;03125";"95;75";"53;3125";"40;9375";"28;4375";"8;474365234375";"852;5";0,0kWh
2024-11-19 20:00:00 CEST;"94;3125";"94;125";"53;375";"40;0625";"26;4375";"5;932373046875";"874;5";0,0kWh
2024-11-19 21:00:00 CEST;"5;296875";"83;125";"47;125";"40;28125";"38;875";0,0kWh;"716;5";0,0kWh
2024-11-19 22:00:00 CEST;"5;0625";74,0kWh;"49;9375";"39;65625";"36;8125";0,0kWh;"712;5";0,0kWh
2024-11-19 23:00:00 CEST;"0;84375";"18;75";"10;4375";"9;28125";"6;5625";0,0kWh;"422;5";0,0kWh
2024-11-20 00:00:00 CEST;"3;453125";"77;25";"48;4375";"38;15625";"38;875";0,0kWh;"722;5";0,0kWh
2024-11-20 01:00:00 CEST;"4;296875";"76;5";"46;25";"39;375";"28;875";0,0kWh;"740;5";0,0kWh
2024-11-20 02:00:00 CEST;"3;625";75,0kWh;"47;25";"39;3125";"37;9375";0,0kWh;"746;5";0,0kWh
2024-11-20 03:00:00 CEST;"4;109375";"75;125";"50;0625";"39;15625";"38;3125";0,0kWh;"748;5";0,0kWh
2024-11-20 04:00:00 CEST;"4;21875";"74;875";"48;4375";"34;1875";"35;4375";0,0kWh;"742;5";0,0kWh
2024-11-20 05:00:00 CEST;"3;796875";55,0kWh;"47;25";"37;25";"27;75";"0;0001220703125";"672;5";0,0kWh
2024-11-20 06:00:00 CEST;"28;03125";28,0kWh;36,0kWh;"12;09375";0,0kWh;"9;589599609375";"514;5";0,0kWh
2024-11-20 07:00:00 CEST;"108;515625";"42;125";"65;1875";"40;90625";"42;75";"7;927001953125";"914;5";0,0kWh
2024-11-20 08:00:00 CEST;"104;515625";"85;125";"74;0625";"40;4375";"26;6875";"7;786376953125";"978;5";0,0kWh
2024-11-20 09:00:00 CEST;"99;203125";"94;75";"72;3125";"40;375";"33;625";"7;722900390625";"996;5";0,0kWh
2024-11-20 10:00:00 CEST;"105;203125";90,0kWh;"68;75";"39;8125";"27;0625";"7;7132568359375";"948;5";0,0kWh
2024-11-20 11:00:00 CEST;"101;1875";"87;375";"70;75";"36;375";"36;3125";"8;1102294921875";"958;5";0,0kWh
2024-11-20 12:00:00 CEST;"102;015625";"80;375";"65;3125";"39;375";30,0kWh;"8;0791015625";"934;5";0,0kWh
2024-11-20 13:00:00 CEST;"85;75";"71;875";"68;625";"36;96875";"27;25";"8;1383056640625";"944;5";0,0kWh
2024-11-20 14:00:00 CEST;"101;796875";101,0kWh;70,0kWh;"40;71875";"28;375";"8;1341552734375";"982;5";0,0kWh
2024-11-20 15:00:00 CEST;"101;0625";"93;125";"71;5625";"29;65625";"33;8125";"8;1195068359375";"978;5";0,0kWh
2024-11-20 16:00:00 CEST;"101;8125";"91;375";"65;4375";"40;65625";"1;0625";"8;20166015625";"848;5";0,0kWh
2024-11-20 17:00:00 CEST;"102;296875";"97;125";"56;1875";"40;34375";"33;5";"8;186279296875";"840;5";0,0kWh
2024-11-20 18:00:00 CEST;"100;9375";"92;875";"53;125";"15;3125";"22;0625";"8;0885009765625";"790;5";0,0kWh
2024-11-20 19:00:00 CEST;"104;765625";78,0kWh;"55;4375";"42;84375";"37;0625";"8;4639892578125";"864;5";0,0kWh
2024-11-20 20:00:00 CEST;"103;765625";"72;25";"53;9375";"38;0625";"33;1875";"8;1712646484375";"822;5";0,0kWh
2024-11-20 21:00:00 CEST;"101;546875";"16;5";"48;5625";"40;65625";"38;5625";0,0kWh;"738;5";0,0kWh
2024-11-20 22:00:00 CEST;"96;921875";"15;75";"50;375";"41;96875";"40;8125";0,0kWh;"740;5";0,0kWh
2024-11-20 23:00:00 CEST;"17;09375";"4;25";"11;625";"10;46875";"1;6875";0,0kWh;"414;5";0,0kWh
2024-11-21 00:00:00 CEST;"101;703125";"15;375";"49;1875";"41;25";"40;9375";0,0kWh;"752;5";0,0kWh
2024-11-21 01:00:00 CEST;"87;546875";"15;75";"45;4375";"40;8125";"33;5";0,0kWh;"708;5";0,0kWh
2024-11-21 02:00:00 CEST;"103;359375";"15;5";"48;0625";"41;09375";"37;6875";0,0kWh;"730;5";0,0kWh
2024-11-21 03:00:00 CEST;"102;828125";16,0kWh;"50;5625";"39;28125";"30;4375";0,0kWh;"730;5";0,0kWh
2024-11-21 04:00:00 CEST;"102;46875";"15;875";"47;1875";"40;59375";"31;5625";0,0kWh;"740;5";0,0kWh
2024-11-21 05:00:00 CEST;"95;578125";16,0kWh;"45;5625";"33;65625";"28;3125";0,0kWh;"674;5";0,0kWh
2024-11-21 06:00:00 CEST;"51;53125";"39;75";40,0kWh;"1;84375";0,0kWh;"9;63818359375";"562;5";0,0kWh
2024-11-21 07:00:00 CEST;"60;78125";"92;625";"65;875";"26;03125";39,0kWh;"8;671630859375";"912;5";0,0kWh
2024-11-21 08:00:00 CEST;"26;296875";"92;875";"70;1875";"30;1875";"30;9375";"8;3140869140625";"872;5";0,0kWh
2024-11-21 09:00:00 CEST;"13;3125";"91;875";"71;75";"35;21875";"28;875";"8;3343505859375";"864;5";0,0kWh
2024-11-21 10:00:00 CEST;"12;59375";"96;125";"67;5625";"33;46875";"29;0625";"8;314453125";"834;5";0,0kWh
2024-11-21 11:00:00 CEST;"11;671875";"83;75";"67;125";"27;71875";29,0kWh;"8;25048828125";"832;5";0,0kWh
2024-11-21 12:00:00 CEST;"12;375";"44;375";"64;125";"17;75";"28;75";"8;2012939453125";"756;5";0,0kWh
2024-11-21 13:00:00 CEST;"11;859375";"87;5";"68;4375";"39;65625";"28;75";"8;1396484375";"804;5";0,0kWh
2024-11-21 14:00:00 CEST;"42;609375";"87;875";"67;9375";"36;0625";"30;625";"7;95751953125";"866;5";0,0kWh
2024-11-21 15:00:00 CEST;"65;15625";"88;375";"67;375";"15;4375";"34;6875";"8;081298828125";"858;5";0,0kWh
2024-11-21 16:00:00 CEST;"108;4375";"90;5";"67;125";"41;4375";"33;875";"8;3155517578125";"946;5";0,0kWh
2024-11-21 17:00:00 CEST;"108;046875";"89;875";"56;8125";"42;75";"34;4375";"8;06982421875";"836;5";0,0kWh
2024-11-21 18:00:00 CEST;"108;34375";89,0kWh;"48;9375";"43;1875";"34;5";"7;9832763671875";"860;5";0,0kWh
2024-11-21 19:00:00 CEST;"108;984375";"87;625";"51;1875";"43;3125";"36;0625";"8;2554931640625";"872;5";0,0kWh
2024-11-21 20:00:00 CEST;"97;734375";93,0kWh;"51;1875";"39;6875";"36;125";"4;910400390625";"872;5";0,0kWh
2024-11-21 21:00:00 CEST;"3;890625";"92;25";"44;75";"42;75";"37;0625";"0;0001220703125";"720;5";0,0kWh
2024-11-21 22:00:00 CEST;"3;546875";"88;625";"45;75";"33;6875";"37;25";0,0kWh;"708;5";0,0kWh
2024-11-21 23:00:00 CEST;"1;078125";"25;625";"12;4375";"11;875";"3;1875";0,0kWh;"420;5";0,0kWh
2024-11-22 00:00:00 CEST;"4;15625";"86;5";"45;125";"37;6875";"34;375";"0;0001220703125";"708;5";0,0kWh
2024-11-22 01:00:00 CEST;"4;015625";"86;75";"44;375";"31;625";"17;75";0,0kWh;"678;5";0,0kWh
2024-11-22 02:00:00 CEST;"3;796875";"88;625";"44;75";"40;40625";"36;75";0,0kWh;"692;5";0,0kWh
2024-11-22 03:00:00 CEST;"3;796875";"86;25";"46;625";"40;65625";"26;1875";"0;000244140625";"704;5";0,0kWh
2024-11-22 04:00:00 CEST;"3;734375";"83;75";"43;25";38,0kWh;"38;375";0,0kWh;"716;5";0,0kWh
2024-11-22 05:00:00 CEST;"4;296875";"81;75";"43;5625";"14;5625";30,0kWh;0,0kWh;"632;5";0,0kWh
2024-11-22 06:00:00 CEST;"22;03125";"47;125";"38;3125";"1;59375";0,0kWh;"9;7574462890625";"564;5";0,0kWh
2024-11-22 07:00:00 CEST;"113;515625";"87;5";"63;9375";"30;21875";"37;875";"8;330810546875";"948;5";0,0kWh
2024-11-22 08:00:00 CEST;"106;8125";"93;5";"71;3125";"42;21875";"36;6875";"8;386474609375";"1028;5";0,0kWh
2024-11-22 09:00:00 CEST;"105;15625";88,0kWh;"74;375";"39;09375";"27;875";"8;1474609375";"994;5";0,0kWh
2024-11-22 10:00:00 CEST;94,0kWh;"91;375";"66;25";"33;65625";"12;8125";"8;0931396484375";"934;5";0,0kWh
2024-11-22 11:00:00 CEST;"48;328125";"94;5";"63;375";"41;59375";"36;4375";"7;9024658203125";"984;5";0,0kWh
2024-11-22 12:00:00 CEST;"51;8125";98,0kWh;"64;25";"31;75";"27;4375";"7;9854736328125";"964;5";0,0kWh
2024-11-22 13:00:00 CEST;"51;828125";"101;125";"61;4375";"41;65625";"26;5625";"8;0499267578125";"864;5";0,0kWh
2024-11-22 14:00:00 CEST;"68;6875";96,0kWh;"60;6875";"29;875";"9;6875";"7;9564208984375";"844;5";0,0kWh
2024-11-22 15:00:00 CEST;"107;5";"97;125";61,0kWh;"42;46875";0,0kWh;"8;0147705078125";"910;5";0,0kWh
2024-11-22 16:00:00 CEST;"107;25";"96;5";"59;25";"32;03125";0,0kWh;"8;0592041015625";"882;5";0,0kWh
2024-11-22 17:00:00 CEST;"108;53125";"90;375";"57;5";"35;90625";0,0kWh;"8;371337890625";"836;5";0,0kWh
2024-11-22 18:00:00 CEST;"109;1875";"99;875";"48;0625";"40;96875";0,0kWh;"8;15234375";"808;5";0,0kWh
2024-11-22 19:00:00 CEST;"107;265625";96,0kWh;"51;0625";"41;75";0,0kWh;"8;5333251953125";"828;5";0,0kWh
2024-11-22 20:00:00 CEST;"95;921875";"98;375";"51;9375";"41;53125";0,0kWh;"8;128173828125";"840;5";0,0kWh
2024-11-22 21:00:00 CEST;"5;484375";"87;375";"43;625";"42;28125";0,0kWh;"8;1121826171875";"712;5";0,0kWh
2024-11-22 22:00:00 CEST;"4;734375";"74;5";"46;4375";"41;59375";0,0kWh;"8;160400390625";"694;5";0,0kWh
2024-11-22 23:00:00 CEST;"1;90625";"15;125";"14;75";"11;03125";0,0kWh;"2;7669677734375";"390;5";0,0kWh
2024-11-23 00:00:00 CEST;"5;046875";"71;75";"46;5";"36;03125";0,0kWh;"8;2149658203125";"686;5";0,0kWh
2024-11-23 01:00:00 CEST;"5;59375";"72;5";"45;25";"39;0625";0,0kWh;"4;6451416015625";"694;5";0,0kWh
2024-11-23 02:00:00 CEST;"4;796875";"71;75";"45;6875";"42;34375";0,0kWh;0,0kWh;"658;5";0,0kWh
2024-11-23 03:00:00 CEST;"5;671875";"72;5";"47;9375";"42;4375";0,0kWh;0,0kWh;"700;5";0,0kWh
2024-11-23 04:00:00 CEST;"4;984375";"72;375";"45;5";"42;875";0,0kWh;0,0kWh;"696;5";0,0kWh
2024-11-23 05:00:00 CEST;"5;640625";"75;5";"45;6875";"37;90625";0,0kWh;0,0kWh;"680;5";0,0kWh
2024-11-23 06:00:00 CEST;"48;21875";"36;875";"39;8125";2,0kWh;0,0kWh;"9;5650634765625";"560;5";0,0kWh
2024-11-23 07:00:00 CEST;"112;15625";96,0kWh;"57;125";"42;5625";44,0kWh;"8;328857421875";"902;5";0,0kWh
2024-11-23 08:00:00 CEST;"109;125";"91;75";"62;5";"43;40625";"41;25";"8;1058349609375";"892;5";0,0kWh
2024-11-23 09:00:00 CEST;"104;140625";"91;25";"60;0625";"43;03125";"33;75";"8;086669921875";"874;5";0,0kWh
2024-11-23 10:00:00 CEST;"105;703125";"93;125";"58;25";"40;625";"32;125";"8;02490234375";"888;5";0,0kWh
2024-11-23 11:00:00 CEST;"101;203125";"91;875";"63;625";"43;09375";"30;9375";"8;09033203125";"870;5";0,0kWh
2024-11-23 12:00:00 CEST;"84;484375";"81;625";"61;9375";"42;84375";"28;875";"6;389404296875";"802;5";0,0kWh
2024-11-23 13:00:00 CEST;"55;96875";"92;625";"61;3125";"40;1875";"27;3125";0,0kWh;"780;5";0,0kWh
2024-11-23 14:00:00 CEST;"109;203125";"90;875";"62;1875";"42;8125";"25;5625";0,0kWh;"814;5";0,0kWh
2024-11-23 15:00:00 CEST;"117;21875";"91;5";"63;6875";"42;75";"26;125";0,0kWh;"844;5";0,0kWh
2024-11-23 16:00:00 CEST;"117;234375";"91;875";"60;3125";"42;8125";"25;75";0,0kWh;"828;5";0,0kWh
2024-11-23 17:00:00 CEST;"117;71875";"95;625";"56;375";"37;21875";"34;8125";"0;0001220703125";"842;5";0,0kWh
2024-11-23 18:00:00 CEST;"117;953125";"95;5";"54;875";"41;53125";"34;3125";0,0kWh;"836;5";0,0kWh
2024-11-23 19:00:00 CEST;"118;390625";"95;125";"53;3125";"43;40625";"33;125";0,0kWh;"820;5";0,0kWh
2024-11-23 20:00:00 CEST;"104;84375";"70;5";"48;8125";"18;0625";"27;25";0,0kWh;"714;5";0,0kWh
2024-11-23 21:00:00 CEST;"4;609375";"13;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"162;5";0,0kWh
2024-11-23 22:00:00 CEST;"4;328125";"13;875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"156;5";0,0kWh
2024-11-23 23:00:00 CEST;"1;78125";"5;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"100;5";0,0kWh
2024-11-24 00:00:00 CEST;"4;09375";"13;625";"0;0625";0,0kWh;0,0kWh;0,0kWh;"150;5";0,0kWh
2024-11-24 01:00:00 CEST;"4;203125";14,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"148;5";0,0kWh
2024-11-24 02:00:00 CEST;"3;9375";"13;75";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"146;5";0,0kWh
2024-11-24 03:00:00 CEST;"4;734375";"14;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"146;5";0,0kWh
2024-11-24 04:00:00 CEST;"4;71875";14,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"142;5";0,0kWh
2024-11-24 05:00:00 CEST;"4;28125";"14;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"146;5";0,0kWh
2024-11-24 06:00:00 CEST;"4;25";"20;25";"40;8125";0,0kWh;0,0kWh;0,0kWh;"316;5";0,0kWh
2024-11-24 07:00:00 CEST;"4;609375";"40;375";"47;5625";0,0kWh;0,0kWh;"0;0001220703125";"412;5";0,0kWh
2024-11-24 08:00:00 CEST;"4;59375";"40;25";50,0kWh;0,0kWh;0,0kWh;0,0kWh;"422;5";0,0kWh
2024-11-24 09:00:00 CEST;"4;015625";"39;5";"50;25";0,0kWh;0,0kWh;0,0kWh;"408;5";0,0kWh
2024-11-24 10:00:00 CEST;"4;265625";"37;875";"49;5625";0,0kWh;0,0kWh;0,0kWh;"396;5";0,0kWh
2024-11-24 11:00:00 CEST;"4;4375";"37;125";"49;625";0,0kWh;0,0kWh;0,0kWh;"392;5";0,0kWh
2024-11-24 12:00:00 CEST;"2;71875";"27;125";"31;3125";0,0kWh;0,0kWh;0,0kWh;"208;5";0,0kWh
2024-11-24 13:00:00 CEST;"2;859375";"6;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"66;5";0,0kWh
2024-11-24 14:00:00 CEST;"4;21875";"16;875";"0;0625";0,0kWh;0,0kWh;0,0kWh;"178;5";0,0kWh
2024-11-24 15:00:00 CEST;"3;921875";"13;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"166;5";0,0kWh
2024-11-24 16:00:00 CEST;"4;234375";"13;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"144;5";0,0kWh
